hours_since_start,mbps,sweep,wall
21.113,72.1,m5,2026-09-07 21:14:40
21.273,64.0,m5,2026-09-07 21:24:14
21.432,74.2,m5,2026-09-07 21:33:48
21.592,75.4,m5,2026-09-07 21:43:22
21.752,70.2,m5,2026-09-07 21:52:57
23.791,64.4,m5,2026-09-07 23:55:18
23.950,62.9,m5,2026-09-08 00:04:52
24.110,60.9,m5,2026-09-08 00:14:27
24.269,61.4,m5,2026-09-08 00:24:01
24.429,63.9,m5,2026-09-08 00:33:36
24.589,64.4,m5,2026-09-08 00:43:11
24.748,61.3,m5,2026-09-08 00:52:45
24.921,60.1,m6,2026-09-08 01:03:09
25.114,66.1,m6,2026-09-08 01:14:42
25.307,78.6,m6,2026-09-08 01:26:16
25.499,75.8,m6,2026-09-08 01:37:49
25.692,79.4,m6,2026-09-08 01:49:24
25.885,72.0,m6,2026-09-08 02:00:58
26.078,67.9,m6,2026-09-08 02:12:31
26.270,62.3,m6,2026-09-08 02:24:05
26.463,69.8,m6,2026-09-08 02:35:39
26.656,58.7,m6,2026-09-08 02:47:13
26.849,47.3,m6,2026-09-08 02:58:48
27.008,55.3,m6,2026-09-08 03:08:22
27.168,63.7,m6,2026-09-08 03:17:58
27.328,64.9,m6,2026-09-08 03:27:33
27.488,60.6,m6,2026-09-08 03:37:07
27.647,61.2,m6,2026-09-08 03:46:42
27.807,60.1,m6,2026-09-08 03:56:16
27.966,60.7,m6,2026-09-08 04:05:51
28.126,58.4,m6,2026-09-08 04:15:24
28.285,59.2,m6,2026-09-08 04:24:59
28.445,61.7,m6,2026-09-08 04:34:34
28.604,58.5,m6,2026-09-08 04:44:07
28.764,61.0,m6,2026-09-08 04:53:41
28.924,63.2,m6,2026-09-08 05:03:16
29.083,66.1,m6,2026-09-08 05:12:51
29.243,67.2,m6,2026-09-08 05:22:25
29.562,69.8,m6,2026-09-08 05:41:34
29.772,60.4,m6,2026-09-08 05:54:10
29.981,65.2,m6,2026-09-08 06:06:45
30.191,72.0,m6,2026-09-08 06:19:19
30.400,63.1,m6,2026-09-08 06:31:52
30.610,69.6,m6,2026-09-08 06:44:26
30.885,62.5,m6,2026-09-08 07:00:59
31.162,66.8,m6,2026-09-08 07:17:33
